jar_name,mod_id,mod_name,version,side,category,adds_bosses,boss_count,adds_structures,structure_count,adds_dimensions,dimension_count,adds_biomes,biome_count,adds_mobs,mob_count,adds_loot_tables,loot_table_count,adds_recipes,recipe_count,worldgen_risk,performance_risk,balance_risk,notes
[1.20.1] SecurityCraft v1.10.1.jar,securitycraft,SecurityCraft,${file.jarVersion},Both,"Armas / armaduras / herramientas, Loot / recompensas, Magia, Mobs",false,0,false,0,false,0,false,0,true,4,true,621,true,782,Bajo,Bajo,Medio,No confirmado
[forge]ctov-3.4.14.jar,ctov,ChoiceTheorem's Overhauled Village,3.4.14,Both,"Estructuras, Loot / recompensas, Worldgen / biomas / terreno",false,0,true,578,false,0,false,0,false,0,true,54,false,0,Medio,Medio,Medio,Confirmado por archivos internos: contiene features/biome modifiers/worldgen modifiers.
accessories-neoforge-1.0.0-beta.48+1.20.1.jar,accessories,Accessories,1.0.0-beta48+1.20.1,Both,No confirmado,false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
advancednetherite-forge-2.1.3-1.20.1.jar,advancednetherite,Advanced Netherite,2.1.3,Both,"Armas / armaduras / herramientas, Loot / recompensas",false,0,false,0,false,0,false,0,false,0,true,4,true,49,Bajo,Bajo,Bajo,No confirmado
AdvancementPlaques-1.20.1-forge-1.6.9.jar,advancementplaques,Advancement Plaques,${file.jarVersion},Client only,Cliente visual / HUD / UI,false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
aeroblender-1.20.1-1.0.1-neoforge.jar,aeroblender,AeroBlender,${file.jarVersion},Both,No confirmado,false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
aether-1.20.1-1.5.2-neoforge.jar,aether,The Aether,${file.jarVersion},Both,"Armas / armaduras / herramientas, Dimensiones, Dungeons, Estructuras, ... (+3)",true,1,true,38,true,1,true,8,true,74,true,191,true,369,Medio,Medio,Medio,"Incluye jar-in-jar: cumulus_menus, curios, mixinextras, nitrogen_internals"
aether-redux-2.0.19-1.20.1-neoforge.jar,aether_redux,The Aether: Redux,${file.jarVersion},Both,"Armas / armaduras / herramientas, Loot / recompensas, Mobs, Worldgen / biomas / terreno",false,0,false,0,false,0,true,16,true,26,true,294,true,324,Medio,Bajo,Medio,Incluye jar-in-jar: mixinextras
aether_delight_1.0.0_forge_1.20.1.jar,aetherdelight,Aether Delight,1.0.0,Both,Loot / recompensas,false,0,false,0,false,0,false,0,false,0,true,3,true,133,Bajo,Bajo,Bajo,No confirmado
AetherVillages-1.20.1-1.0.7-forge.jar,aether_villages,Aether Villages,1.0.7,Both,"Estructuras, Loot / recompensas",false,0,true,44,false,0,false,0,false,0,true,3,false,0,Bajo,Bajo,Bajo,"Confirmado por archivos internos: anade/modifica estructuras, sin evidencia de terreno base."
AI-Improvements-1.20-0.5.2.jar,aiimprovements,AI-Improvements,${file.jarVersion},Both,No confirmado,false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
alexscaves-2.0.2.jar,alexscaves,Alex's Caves,2.0.2,Both,"Armas / armaduras / herramientas, Estructuras, Loot / recompensas, Mobs, ... (+1)",true,1,true,103,false,0,true,12,true,135,true,407,true,467,Alto,Medio,Medio,Inferido por nombre: mod de biomas/terreno conocido por tocar generacion base.
alexsdelight-1.5.jar,alexsdelight,Alex's Delight,1.5,Both,"Loot / recompensas, Mobs",false,0,false,0,false,0,false,0,true,2,true,2,true,40,Bajo,Bajo,Bajo,No confirmado
alexsmobs-1.22.9.jar,alexsmobs,Alex's Mobs,1.22.9,Both,"Armas / armaduras / herramientas, Loot / recompensas, Mobs, Worldgen / biomas / terreno",true,2,false,0,false,0,false,0,true,244,true,139,true,84,Medio,Medio,Medio,Confirmado por archivos internos: contiene features/biome modifiers/worldgen modifiers.
appleskin-forge-mc1.20.1-2.5.1.jar,appleskin,AppleSkin,${file.jarVersion},Client only,Cliente visual / HUD / UI,false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
Aquaculture-1.20.1-2.5.7.jar,aquaculture,Aquaculture 2,2.5.7,Both,"Armas / armaduras / herramientas, Loot / recompensas, Mobs, Worldgen / biomas / terreno",false,0,false,0,false,0,false,0,true,72,true,53,true,63,Medio,Medio,Medio,Confirmado por archivos internos: contiene features/biome modifiers/worldgen modifiers.
aquamirae-forge-1.20.1-6.4.0.jar,aquamirae,Aquamirae,6.4.0,Both,"Armas / armaduras / herramientas, Estructuras, Loot / recompensas, Mobs, ... (+1)",false,0,true,15,false,0,true,1,true,25,true,20,true,38,Alto,Bajo,Bajo,Confirmado por archivos internos: contiene biomas worldgen (1); dimension no confirmada.
architectury-9.2.14-forge.jar,architectury,Architectury,9.2.14,Both,"Librerias / dependencias, Worldgen / biomas / terreno",false,0,false,0,false,0,false,0,false,0,false,0,false,0,Medio,Bajo,Bajo,Confirmado por archivos internos: contiene features/biome modifiers/worldgen modifiers.
artifacts-forge-9.5.19.jar,artifacts,Artifacts,9.5.19,Both,"Armas / armaduras / herramientas, Loot / recompensas, Magia, Mobs, ... (+1)",false,0,false,0,false,0,false,0,true,2,true,61,true,3,Medio,Bajo,Medio,Confirmado por archivos internos: contiene features/biome modifiers/worldgen modifiers.
balm-forge-1.20.1-7.3.38-all.jar,balm,Balm,7.3.38,Both,"Librerias / dependencias, Worldgen / biomas / terreno",false,0,false,0,false,0,false,0,false,0,false,0,false,0,Medio,Bajo,Bajo,Incluye jar-in-jar: kuma_api
BarteringStation-v8.0.0-1.20.1-Forge.jar,barteringstation,Bartering Station,8.0.0,Both,Loot / recompensas,false,0,false,0,false,0,false,0,false,0,true,1,true,1,Bajo,Bajo,Bajo,No confirmado
BCLib-20.0.9.jar,bclib,BCLib,20.0.9,Both,Librerias / dependencias,false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
bettercombat-forge-1.9.0+1.20.1.jar,bettercombat,Better Combat,1.9.0+1.20.1,Both,Combate,false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
BetterCompatibilityChecker-forge-4.0.8+mc1.20.1.jar,bcc,Better Compatibility Checker,4.0.8,Both,"Compatibilidad, Loot / recompensas",false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
BetterEnd-20.0.8.jar,betterend,Better End,20.0.8,Both,"Armas / armaduras / herramientas, Estructuras, Loot / recompensas, Mobs, ... (+1)",false,0,true,143,false,0,true,53,true,6,true,664,true,789,Alto,Medio,Medio,Inferido por nombre: mod de biomas/terreno conocido por tocar generacion base.
BetterEndCities-Raijin-structure-1.21.1.jar,"betterendcities_raijin_structure, betterendcities_raijin_structure",BetterEndCities-Raijin-structure-1.21.1,1.21.1,Both,No confirmado,false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
BetterNether-20.0.10.jar,betternether,Better Nether,20.0.10,Both,"Armas / armaduras / herramientas, Estructuras, Loot / recompensas, Mobs, ... (+1)",false,0,true,116,false,0,true,45,true,12,true,426,true,634,Alto,Medio,Medio,Inferido por nombre: mod de biomas/terreno conocido por tocar generacion base.
