modid,type,id,source_file,jar_file,confidence,notes
accessories,tag_item,accessories:back,data/accessories/tags/items/back.json,sophisticatedbackpacks-1.20.1-3.24.48.1821.jar,high,item tag
advancednetherite,advancement,advancednetherite:husbandry/obtain_netherite_diamond_hoe,data/advancednetherite/advancements/husbandry/obtain_netherite_diamond_hoe.json,advancednetherite-forge-2.1.3-1.20.1.jar,medium,advancement
advancednetherite,advancement,advancednetherite:nether/netherite_diamond_armor,data/advancednetherite/advancements/nether/netherite_diamond_armor.json,advancednetherite-forge-2.1.3-1.20.1.jar,medium,advancement
advancednetherite,advancement,advancednetherite:nether/netherite_emerald_armor,data/advancednetherite/advancements/nether/netherite_emerald_armor.json,advancednetherite-forge-2.1.3-1.20.1.jar,medium,advancement
advancednetherite,advancement,advancednetherite:nether/netherite_gold_armor,data/advancednetherite/advancements/nether/netherite_gold_armor.json,advancednetherite-forge-2.1.3-1.20.1.jar,medium,advancement
advancednetherite,advancement,advancednetherite:nether/netherite_iron_armor,data/advancednetherite/advancements/nether/netherite_iron_armor.json,advancednetherite-forge-2.1.3-1.20.1.jar,medium,advancement
advancednetherite,advancement,advancednetherite:nether/obtain_netherite_diamond_block,data/advancednetherite/advancements/nether/obtain_netherite_diamond_block.json,advancednetherite-forge-2.1.3-1.20.1.jar,medium,advancement
advancednetherite,advancement,advancednetherite:nether/obtain_netherite_iron_ingot,data/advancednetherite/advancements/nether/obtain_netherite_iron_ingot.json,advancednetherite-forge-2.1.3-1.20.1.jar,medium,advancement
advancednetherite,advancement,advancednetherite:recipes/building_blocks/netherite_diamond_block,data/advancednetherite/advancements/recipes/building_blocks/netherite_diamond_block.json,advancednetherite-forge-2.1.3-1.20.1.jar,medium,advancement
advancednetherite,advancement,advancednetherite:recipes/building_blocks/netherite_emerald_block,data/advancednetherite/advancements/recipes/building_blocks/netherite_emerald_block.json,advancednetherite-forge-2.1.3-1.20.1.jar,medium,advancement
advancednetherite,advancement,advancednetherite:recipes/building_blocks/netherite_gold_block,data/advancednetherite/advancements/recipes/building_blocks/netherite_gold_block.json,advancednetherite-forge-2.1.3-1.20.1.jar,medium,advancement
advancednetherite,advancement,advancednetherite:recipes/building_blocks/netherite_iron_block,data/advancednetherite/advancements/recipes/building_blocks/netherite_iron_block.json,advancednetherite-forge-2.1.3-1.20.1.jar,medium,advancement
advancednetherite,advancement,advancednetherite:recipes/misc/lodestone,data/advancednetherite/advancements/recipes/misc/lodestone.json,advancednetherite-forge-2.1.3-1.20.1.jar,medium,advancement
advancednetherite,advancement,advancednetherite:recipes/misc/netherite_diamond_axe_smithing,data/advancednetherite/advancements/recipes/misc/netherite_diamond_axe_smithing.json,advancednetherite-forge-2.1.3-1.20.1.jar,medium,advancement
advancednetherite,advancement,advancednetherite:recipes/misc/netherite_diamond_boots_smithing,data/advancednetherite/advancements/recipes/misc/netherite_diamond_boots_smithing.json,advancednetherite-forge-2.1.3-1.20.1.jar,medium,advancement
advancednetherite,advancement,advancednetherite:recipes/misc/netherite_diamond_chestplate_smithing,data/advancednetherite/advancements/recipes/misc/netherite_diamond_chestplate_smithing.json,advancednetherite-forge-2.1.3-1.20.1.jar,medium,advancement
